Ref;Qnty;Value;Cmp name;Footprint;Description;Vendor
C1, C4, C7, C10, C13, C16, ;6;1uF;C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;Unpolarized capacitor, small symbol;
C2, C5, C8, C11, C14, C17, ;6;100nF;C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;Unpolarized capacitor, small symbol;
C3, C6, C9, C12, C15, C18, ;6;330pF;C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;Unpolarized capacitor, small symbol;
D1, ;1;LED;LED;LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;Light emitting diode;
J1, J2, ;2;Conn_02x08_Odd_Even;Conn_02x08_Odd_Even;Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Horizontal;Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/);
R1, R2, R3, R5, R7, R9, R11, R13, ;8;47R;R_Small;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;Resistor, small symbol;
R4, R6, R8, R10, R12, R14, ;6;2k;R_Small;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;Resistor, small symbol;
R15, ;1;0R;R_Small;Resistor_SMD:R_0805_2012Metric;Resistor, small symbol;
R16, ;1;DNP;R_Small;Resistor_SMD:R_0805_2012Metric;Resistor, small symbol;
R17, ;1;2k;R_Small;Resistor_SMD:R_0805_2012Metric;Resistor, small symbol;
U1, U2, U3, U4, U5, U6, ;6;ADC_SPI_GEN;ADC_SPI_GEN;Package_TO_SOT_SMD:TSOT-23-6;Generic symbol for single-channel, single-ended SPI ADC with 6-pin package;
