Ref;Qnty;Value;Cmp name;Footprint;Description;Vendor
C1, C2, C4, C6, C7, C9, ;6;100nF;C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;Unpolarized capacitor, small symbol;
C3, C5, C8, C10, ;4;1uF;C_Small;Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;Unpolarized capacitor, small symbol;
J1, J2, ;2;Conn_02x06_Odd_Even;Conn_02x06_Odd_Even;Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical;Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/);
J3, J4, ;2;Conn_02x12_Odd_Even;Conn_02x12_Odd_Even;Connector_PinHeader_2.54mm:PinHeader_2x12_P2.54mm_Vertical;Generic connector, double row, 02x12, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/);
J5, ;1;Conn_02x20_Odd_Even;Conn_02x20_Odd_Even;Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical;Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/);
R1, R2, R3, R14, R16, ;5;0R;R_Small;Resistor_SMD:R_0805_2012Metric;Resistor, small symbol;
R4, R11, ;2;0R;R_Small_US;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;Resistor, small US symbol;
R5, R12, ;2;DNP;R_Small_US;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;Resistor, small US symbol;
R6, R13, ;2;47R;R_Small_US;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;Resistor, small US symbol;
R7, R9, ;2;220R;R_Small_US;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;Resistor, small US symbol;
R8, R10, ;2;2k;R_Small_US;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;Resistor, small US symbol;
U1, U2, ;2;Dual_Buffer;Dual_Buffer;Package_TO_SOT_SMD:SOT-23-6_Handsoldering;Dual non-inverting digital signal buffer;
U3, U6, ;2;HFBR-2521Z;HFBR-2521Z;CL_Fiber_Optic:HFBR-2521Z;1 MBd optic receiver;
U4, U5, ;2;HFBR-1521Z;HFBR-1521Z;CL_Fiber_Optic:HFBR-1521Z;1 MBd optic transmitter;
