Ref;Qnty;Value;Cmp name;Footprint;Description;Vendor
C1, C2, C3, ;3;TBD;C_Polarized_Small_US;Capacitor_THT:CP_Radial_D16.0mm_P7.50mm;Polarized capacitor, small US symbol;
C4, C5, ;2;10uF;C_Small;Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;Unpolarized capacitor, small symbol;
D1, ;1;D_Bridge_-AA+;D_Bridge_-AA+;Diode_THT:Diode_Bridge_19.0x3.5x10.0mm_P5.0mm;Diode bridge, -ve/AC/AC/+ve;
D2, ;1;LED;LED;LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;Light emitting diode;
F1, ;1;Polyfuse;Polyfuse;Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder;Resettable fuse, polymeric positive temperature coefficient;
J1, ;1;Screw_Terminal_01x03;Screw_Terminal_01x03;TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal;Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/);
J2, ;1;Screw_Terminal_01x02;Screw_Terminal_01x02;TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal;Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/);
J3, ;1;Conn_01x01;Conn_01x01;Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical;Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/);
L1, ;1;50uH;L_Small;Inductor_SMD:L_Taiyo-Yuden_NR-50xx;Inductor, small symbol;
R1, ;1;DNP;R_Small_US;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;Resistor, small US symbol;
R2, ;1;2k;R_Small_US;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;Resistor, small US symbol;
U1, ;1;Generic_DIP24_Dual_Isolated_DCDC;Generic_DIP24_Dual_Isolated_DCDC;CL_Converter_DCDC:Generic_DIP24_Dual_Isolated_DCDC;Generic DIP24 dual isolated DC/DC converter;
