Ref;Qnty;Value;Cmp name;Footprint;Description;Vendor
C1, C2, C3, C4, ;4;10uF;C_Small;Capacitor_SMD:C_0805_2012Metric;Unpolarized capacitor, small symbol;
C5, C6, C7, C8, C9, C10, ;6;100nF;C_Small;Capacitor_SMD:C_0805_2012Metric;Unpolarized capacitor, small symbol;
D1, ;1;LED;LED;LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;Light emitting diode;
J1, ;1;Conn_02x10_Odd_Even;Conn_02x10_Odd_Even;Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Horizontal;Generic connector, double row, 02x10, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/);
J2, ;1;Conn_02x08_Odd_Even;Conn_02x08_Odd_Even;Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Horizontal;Generic connector, double row, 02x08, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/);
R1, R3, R5, R7, R9, R11, ;6;0R;R_Small;Resistor_SMD:R_0805_2012Metric;Resistor, small symbol;
R2, R4, R6, R8, R10, R12, ;6;TBD;R_Small;Resistor_SMD:R_0805_2012Metric;Resistor, small symbol;
R13, ;1;2k;R_Small;Resistor_SMD:R_0805_2012Metric;Resistor, small symbol;
R14, ;1;DNP;R_Small;Resistor_SMD:R_0805_2012Metric;Resistor, small symbol;
U1, U2, U3, ;3;Opamp_Dual;Opamp_Dual;Package_SO:SOIC-8_3.9x4.9mm_P1.27mm;Dual operational amplifier;
